Strain,Stress,Temperature,Speed,Angle,Height,Fill
0.041355710 ,1.378971000 ,190,40,0,0.1,70
0.041355710 ,1.393340000 ,190,40,0,0.1,70
0.041355710 ,1.406559000 ,190,40,0,0.1,70
0.041355710 ,1.417287000 ,190,40,0,0.1,70
0.043239660 ,1.426099000 ,190,40,0,0.1,70
0.043239660 ,1.428973000 ,190,40,0,0.1,70
0.043239660 ,1.444682000 ,190,40,0,0.1,70
0.043239660 ,1.457710000 ,190,40,0,0.1,70
0.044645030 ,1.475143000 ,190,40,0,0.1,70
0.044645030 ,1.486063000 ,190,40,0,0.1,70
0.044645030 ,1.491619000 ,190,40,0,0.1,70
0.045305930 ,1.495450000 ,190,40,0,0.1,70
0.045305930 ,1.500431000 ,190,40,0,0.1,70
0.045305930 ,1.518440000 ,190,40,0,0.1,70
0.045305930 ,1.539705000 ,190,40,0,0.1,70
0.045305930 ,1.544302000 ,190,40,0,0.1,70
0.045305930 ,1.566717000 ,190,40,0,0.1,70
0.045108420 ,1.573039000 ,190,40,0,0.1,70
0.045108420 ,1.578978000 ,190,40,0,0.1,70
0.045108420 ,1.580894000 ,190,40,0,0.1,70
0.045108420 ,1.584150000 ,190,40,0,0.1,70
0.043839790 ,1.588748000 ,190,40,0,0.1,70
0.043839790 ,1.594304000 ,190,40,0,0.1,70
0.043839790 ,1.593346000 ,190,40,0,0.1,70
0.042776270 ,1.601776000 ,190,40,0,0.1,70
0.042776270 ,1.614036000 ,190,40,0,0.1,70
0.042776270 ,1.608098000 ,190,40,0,0.1,70
0.042776270 ,1.611929000 ,190,40,0,0.1,70
0.042776270 ,1.611737000 ,190,40,0,0.1,70
0.042776270 ,1.627064000 ,190,40,0,0.1,70
0.041963440 ,1.632619000 ,190,40,0,0.1,70
0.041963440 ,1.640857000 ,190,40,0,0.1,70
0.041963440 ,1.641815000 ,190,40,0,0.1,70
0.041963440 ,1.642773000 ,190,40,0,0.1,70
0.040702410 ,1.658482000 ,190,40,0,0.1,70
0.040702410 ,1.664804000 ,190,40,0,0.1,70
0.040702410 ,1.662889000 ,190,40,0,0.1,70
0.038560180 ,1.662697000 ,190,40,0,0.1,70
0.038560180 ,1.669594000 ,190,40,0,0.1,70
0.038560180 ,1.685112000 ,190,40,0,0.1,70
0.038560180 ,1.691625000 ,190,40,0,0.1,70
